SSN	Username	Pw encrypted
76	アカアシシギ	1dU4O95QtZTT/EqoTAF+Xg
77	コアオアシシギ	AunrSgkwXGNIVYT6Mr5bKw
78	アオアシシギ	MeBlBMSGyX9T+JGkA4fWKg
79	クサシギ	opmTjHpTvvMgmR+YgdBVuA
80	タカブシギ	ZDlRDKmNWpO0mbFSx74hkw
81	キアシシギ	pCEDJzkdnVYVbsFmIZG9Sg
82	ソリハシシギ	Qvj9+ZYIgWjxoPcgeCXpMQ
83	イソシギ	ETgX+8Rn38dhedx6FYI3CA
84	ブッポウソウ	Jg1rlQC7OdwgBdm4Mg18Mw
85	キョウジョシギ	zH5k8kTIK/BK05tUVUCXJw
86	トウネン	i+Nec9ygz/lSfB8xc5M0RQ
87	サルハマシギ	fMB/doo8UjiemtWoYQKXIA
88	ハマシギ	eABQCJdaT0I4nQ0ERsIlOQ
